Event,1st Semester (Aug 2025-Dec 2025),2nd Semester (Jan 2026-May 2026),Midyear (Jun 2026-Jul 2026)
Bridge program,Jul 28,,
Last Day for File Application for Admission (Non-Degree/Second Degree/Transfer from outside UP),Jun 27,Dec 05 2025,
Last Day for File Application for Admission (Transfer from other UP units),Jul 21,Jan 06,
Completion/Removal Examination Period,Jul 24 - Jul 25,Dec 16 - Dec 18 2025,Jun 01 - Jun 02
Medical Examination (New First Year),Jul 07 - Jul 18,Nov 25 - Nov 26 2025,
Medical Examination (New Graduate Students),Jul 21 - Jul 23,Dec 10 - Dec 12 2025,
Medical Examination (New Pre-Baccalaureate Students),Jul 24 - Jul 25,,
Medical Examination (Old Returning/Second Degree Students and Transferees),Jul 28 - Jul 29,Jan 06 - Jan 07,
Medical Examination (Non-Degree Students),Jul 28 - Jul 29,,
Medical Examination (Continuing Students),Optional,Optional,Optional
Advance Registration (New First Year Baccalaureate Students),Jul 21 - Jul 25,Nov 27 - Nov 28 2025,
Advance Registration (Pre-Baccalaureate Students),Jul 28 - Jul 29,,
Deadline: Readmission/reinstatement from AWOL/extension of residency/waiver of MRR (OCS),Jul 14,Jan 06,
Deadline: Readmission/reinstatement from AWOL/extension of residency/waiver of MRR (OVCAA),Jul 21,Jan 12,
Validation period for returning graduate students,Jul 28,Jan 05,
"GENERAL REGISTRATION (All other students including new graduate students/ cross-
registrants/ non-degree/special/foreign/exchange students/transferees)",Aug 05 - Aug 07,Jan 13 - Jan 15,Jun 04 - Jun 05
Deadline for filing waiver of prerequisite,Aug 07,Jan 15,Jun 05
START OF CLASSES,Aug 11,Jan 19,Jun 08
Opening Convocation (New First Year),Aug 11,,
Change of Matriculation Period,Aug 11 - Aug 15,Jan 19 - Jan 23,Jun 08 - Jun 09
Proficiency Examination in Physical Education  (PEPE),Aug 12 - Aug 15,Jan 20 - Jan 23,
Deadline for Withdrawal of Enlistment (New Students),Sep 05,Feb 13, Fri
Deadline to file application for graduation,Oct 06,Mar 11,Jun 26
Midsemester,Oct 08,Mar 16,Jun 27
READING BREAK,Oct 09 - Oct 11,Mar 12 - Mar 14,
Lenten Break,,Apr 02 - Apr 04,
Deadline for Dropping of Subjects,Nov 07,Apr 16,Jul 06
Deadline for Filing Leave of Absence,Nov 19,Apr 29,
END OF CLASSES,Dec 03,May 13,Jul 14
Integration Period,Dec 04,May 14, Thu
FINAL EXAMINATIONS,Dec 05 - Dec 12,May 15 - May 22,Jul 16
Deadline for Grade Submission,Dec 18, Thu,May 29
Christmas Vacation,Dec 19 2025 - Jan 02 2026,,
College Faculty Meeting (Graduation Approval),Sep 01,Feb 09,Jun 15
Deadline for colleges to submit to the OUR the tentative list of candidates for graduation,Sep 03,Feb 11,Jun 17
University Council Executive Committee Meeting,Sep 15,Feb 23,Jun 22
UNIVERSITY COUNCIL COUNCIL MEETING TO RECOMMEND LIST OF CANDIDATES FOR GRADUATION FOR BOR APPROVAL,Sep 22,Mar 02,Jun 24
UPLB Foundation Day,,Mar 06,
LOYALTY DAY,Oct 10, Fri,
Board of Regents Meeting to Confirm Graduation,(As per BOR Schedule),(As per BOR Schedule),(As per BOR Schedule)
Graduate School Hooding Ceremony,,,Jul 03
UPLB COMMENCEMENT EXERCISES,,,Jul 04
